job_number;start_time;wait_time;runtime;nodes_alloc;cpu_used;mem_used;proc_req;time_req;mem_req;status;user;user_group;executable_num;queue_num;partition;prev_job;think_time;hours;minutes;seconds;month;month;year;day_of_week
1;0;-1;1451;128;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;00;00;03;01;10;1993;5
2;1460;-1;3726;128;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;00;24;23;01;10;1993;5
3;5198;-1;1067;128;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;01;26;41;01;10;1993;5
4;6269;-1;10927;128;-1;-1;-1;-1;-1;-1;2;1;-1;-1;-1;-1;-1;01;44;32;01;10;1993;5
5;17201;-1;2927;128;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;04;46;44;01;10;1993;5
57;25574;-1;10;1;-1;-1;-1;-1;-1;-1;4;1;2;-1;-1;-1;-1;07;06;17;01;10;1993;5
59;26613;-1;716;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;07;23;36;01;10;1993;5
60;27331;-1;7;1;-1;-1;-1;-1;-1;-1;4;1;4;-1;-1;-1;-1;07;35;34;01;10;1993;5
61;27968;-1;69;2;-1;-1;-1;-1;-1;-1;5;2;5;-1;-1;-1;-1;07;46;11;01;10;1993;5
62;27989;-1;9;1;-1;-1;-1;-1;-1;-1;6;1;6;-1;-1;-1;-1;07;46;32;01;10;1993;5
63;28043;-1;9;1;-1;-1;-1;-1;-1;-1;6;1;6;-1;-1;-1;-1;07;47;26;01;10;1993;5
65;28255;-1;884;1;-1;-1;-1;-1;-1;-1;6;1;6;-1;-1;-1;-1;07;50;58;01;10;1993;5
72;29539;-1;75;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;08;12;22;01;10;1993;5
74;29616;-1;15;1;-1;-1;-1;-1;-1;-1;4;1;4;-1;-1;-1;-1;08;13;39;01;10;1993;5
76;30304;-1;176;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;08;25;07;01;10;1993;5
77;30542;-1;160;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;08;29;05;01;10;1993;5
80;30931;-1;229;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;08;35;34;01;10;1993;5
85;31316;-1;54;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;08;41;59;01;10;1993;5
86;31345;-1;237;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;08;42;28;01;10;1993;5
87;31658;-1;49;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;08;47;41;01;10;1993;5
89;31823;-1;104;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;08;50;26;01;10;1993;5
90;31829;-1;57;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;08;50;32;01;10;1993;5
91;31888;-1;19;16;-1;-1;-1;-1;-1;-1;8;1;8;-1;-1;-1;-1;08;51;31;01;10;1993;5
92;31929;-1;7;1;-1;-1;-1;-1;-1;-1;4;1;4;-1;-1;-1;-1;08;52;12;01;10;1993;5
93;32058;-1;181;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;08;54;21;01;10;1993;5
95;32289;-1;143;32;-1;-1;-1;-1;-1;-1;4;1;3;-1;-1;-1;-1;08;58;12;01;10;1993;5
96;32435;-1;7;1;-1;-1;-1;-1;-1;-1;4;1;4;-1;-1;-1;-1;09;00;38;01;10;1993;5
97;32463;-1;59;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;09;01;06;01;10;1993;5
98;32513;-1;4034;16;-1;-1;-1;-1;-1;-1;8;1;8;-1;-1;-1;-1;09;01;56;01;10;1993;5
102;32702;-1;14;1;-1;-1;-1;-1;-1;-1;9;2;9;-1;-1;-1;-1;09;05;05;01;10;1993;5
104;32974;-1;51;4;-1;-1;-1;-1;-1;-1;7;1;7;-1;-1;-1;-1;09;09;37;01;10;1993;5
106;33114;-1;10;1;-1;-1;-1;-1;-1;-1;4;1;4;-1;-1;-1;-1;09;11;57;01;10;1993;5
