job_number;submit_time;year;month;day;day_of_week;hour;minute;second;runtime;nodes_alloc;user;user_group;executable_num;hours;minutes;seconds;month.1;month.2;year.1;day_of_week.1
1;0;1993;10;1;5;0;0;3;1451;128;1;1;-1;0;0;3;1;10;1993;5
2;1460;1993;10;1;5;0;24;23;3726;128;1;1;-1;0;24;23;1;10;1993;5
3;5198;1993;10;1;5;1;26;41;1067;128;1;1;-1;1;26;41;1;10;1993;5
4;6269;1993;10;1;5;1;44;32;10927;128;2;1;-1;1;44;32;1;10;1993;5
5;17201;1993;10;1;5;4;46;44;2927;128;1;1;-1;4;46;44;1;10;1993;5
57;25574;1993;10;1;5;7;6;17;10;1;4;1;2;7;6;17;1;10;1993;5
59;26613;1993;10;1;5;7;23;36;716;32;4;1;3;7;23;36;1;10;1993;5
60;27331;1993;10;1;5;7;35;34;7;1;4;1;4;7;35;34;1;10;1993;5
61;27968;1993;10;1;5;7;46;11;69;2;5;2;5;7;46;11;1;10;1993;5
62;27989;1993;10;1;5;7;46;32;9;1;6;1;6;7;46;32;1;10;1993;5
63;28043;1993;10;1;5;7;47;26;9;1;6;1;6;7;47;26;1;10;1993;5
65;28255;1993;10;1;5;7;50;58;884;1;6;1;6;7;50;58;1;10;1993;5
72;29539;1993;10;1;5;8;12;22;75;32;4;1;3;8;12;22;1;10;1993;5
74;29616;1993;10;1;5;8;13;39;15;1;4;1;4;8;13;39;1;10;1993;5
76;30304;1993;10;1;5;8;25;7;176;32;4;1;3;8;25;7;1;10;1993;5
77;30542;1993;10;1;5;8;29;5;160;32;4;1;3;8;29;5;1;10;1993;5
80;30931;1993;10;1;5;8;35;34;229;32;4;1;3;8;35;34;1;10;1993;5
85;31316;1993;10;1;5;8;41;59;54;4;7;1;7;8;41;59;1;10;1993;5
86;31345;1993;10;1;5;8;42;28;237;32;4;1;3;8;42;28;1;10;1993;5
87;31658;1993;10;1;5;8;47;41;49;4;7;1;7;8;47;41;1;10;1993;5
89;31823;1993;10;1;5;8;50;26;104;32;4;1;3;8;50;26;1;10;1993;5
90;31829;1993;10;1;5;8;50;32;57;4;7;1;7;8;50;32;1;10;1993;5
91;31888;1993;10;1;5;8;51;31;19;16;8;1;8;8;51;31;1;10;1993;5
92;31929;1993;10;1;5;8;52;12;7;1;4;1;4;8;52;12;1;10;1993;5
93;32058;1993;10;1;5;8;54;21;181;32;4;1;3;8;54;21;1;10;1993;5
95;32289;1993;10;1;5;8;58;12;143;32;4;1;3;8;58;12;1;10;1993;5
96;32435;1993;10;1;5;9;0;38;7;1;4;1;4;9;0;38;1;10;1993;5
97;32463;1993;10;1;5;9;1;6;59;4;7;1;7;9;1;6;1;10;1993;5
98;32513;1993;10;1;5;9;1;56;4034;16;8;1;8;9;1;56;1;10;1993;5
102;32702;1993;10;1;5;9;5;5;14;1;9;2;9;9;5;5;1;10;1993;5
104;32974;1993;10;1;5;9;9;37;51;4;7;1;7;9;9;37;1;10;1993;5
106;33114;1993;10;1;5;9;11;57;10;1;4;1;4;9;11;57;1;10;1993;5
107;33200;1993;10;1;5;9;13;23;52;4;7;1;7;9;13;23;1;10;1993;5
109;33656;1993;10;1;5;9;20;59;147;32;4;1;3;9;20;59;1;10;1993;5
110;33806;1993;10;1;5;9;23;29;19;1;4;1;4;9;23;29;1;10;1993;5
111;33820;1993;10;1;5;9;23;43;60;4;7;1;7;9;23;43;1;10;1993;5
115;34421;1993;10;1;5;9;33;44;21;4;5;2;5;9;33;44;1;10;1993;5
117;34471;1993;10;1;5;9;34;34;200;32;4;1;3;9;34;34;1;10;1993;5
119;34546;1993;10;1;5;9;35;49;35;4;5;2;5;9;35;49;1;10;1993;5
121;34673;1993;10;1;5;9;37;56;8;1;4;1;4;9;37;56;1;10;1993;5
122;34856;1993;10;1;5;9;40;59;732;32;4;1;3;9;40;59;1;10;1993;5
124;35269;1993;10;1;5;9;47;52;7;1;4;1;4;9;47;52;1;10;1993;5
126;35572;1993;10;1;5;9;52;55;63;4;7;1;7;9;52;55;1;10;1993;5
127;35593;1993;10;1;5;9;53;16;10;1;4;1;4;9;53;16;1;10;1993;5
128;35663;1993;10;1;5;9;54;26;727;32;4;1;3;9;54;26;1;10;1993;5
133;36027;1993;10;1;5;10;0;30;53;4;7;1;7;10;0;30;1;10;1993;5
135;36149;1993;10;1;5;10;2;32;120;32;10;1;10;10;2;32;1;10;1993;5
136;36204;1993;10;1;5;10;3;27;133;16;11;1;11;10;3;27;1;10;1993;5
137;36396;1993;10;1;5;10;6;39;8;1;4;1;4;10;6;39;1;10;1993;5
138;36451;1993;10;1;5;10;7;34;166;32;4;1;3;10;7;34;1;10;1993;5
140;36641;1993;10;1;5;10;10;44;785;32;4;1;3;10;10;44;1;10;1993;5
141;36709;1993;10;1;5;10;11;52;151;16;11;1;11;10;11;52;1;10;1993;5
142;36716;1993;10;1;5;10;11;59;290;4;7;1;7;10;11;59;1;10;1993;5
143;36718;1993;10;1;5;10;12;1;5057;16;8;1;8;10;12;1;1;10;1993;5
144;36965;1993;10;1;5;10;16;8;593;32;10;1;10;10;16;8;1;10;1993;5
146;37087;1993;10;1;5;10;18;10;123;16;11;1;11;10;18;10;1;10;1993;5
147;37304;1993;10;1;5;10;21;47;152;16;11;1;11;10;21;47;1;10;1993;5
150;37436;1993;10;1;5;10;23;59;29;1;4;1;4;10;23;59;1;10;1993;5
151;37439;1993;10;1;5;10;24;2;71;4;7;1;7;10;24;2;1;10;1993;5
154;37562;1993;10;1;5;10;26;5;136;32;10;1;10;10;26;5;1;10;1993;5
155;37701;1993;10;1;5;10;28;24;172;32;10;1;10;10;28;24;1;10;1993;5
156;37826;1993;10;1;5;10;30;29;69;4;7;1;7;10;30;29;1;10;1993;5
157;37877;1993;10;1;5;10;31;20;566;32;10;1;10;10;31;20;1;10;1993;5
159;37905;1993;10;1;5;10;31;48;807;32;4;1;3;10;31;48;1;10;1993;5
160;38147;1993;10;1;5;10;35;50;70;4;7;1;7;10;35;50;1;10;1993;5
162;38445;1993;10;1;5;10;40;48;4750;32;10;1;10;10;40;48;1;10;1993;5
163;38716;1993;10;1;5;10;45;19;7;1;4;1;4;10;45;19;1;10;1993;5
170;40045;1993;10;1;5;11;7;28;3;1;2;1;9;11;7;28;1;10;1993;5
172;40336;1993;10;1;5;11;12;19;748;32;4;1;3;11;12;19;1;10;1993;5
173;40393;1993;10;1;5;11;13;16;78;4;7;1;7;11;13;16;1;10;1993;5
175;40730;1993;10;1;5;11;18;53;68;4;7;1;7;11;18;53;1;10;1993;5
176;40770;1993;10;1;5;11;19;33;9;1;4;1;4;11;19;33;1;10;1993;5
178;41017;1993;10;1;5;11;23;40;64;4;7;1;7;11;23;40;1;10;1993;5
180;41088;1993;10;1;5;11;24;51;16;1;4;1;4;11;24;51;1;10;1993;5
183;41252;1993;10;1;5;11;27;35;206;32;4;1;3;11;27;35;1;10;1993;5
184;41391;1993;10;1;5;11;29;54;74;4;7;1;7;11;29;54;1;10;1993;5
186;41502;1993;10;1;5;11;31;45;260;32;4;1;-1;11;31;45;1;10;1993;5
187;41598;1993;10;1;5;11;33;21;138;4;5;2;5;11;33;21;1;10;1993;5
188;41759;1993;10;1;5;11;36;2;24;4;5;2;5;11;36;2;1;10;1993;5
