job_number,start_time,wait_time,runtime,nodes_alloc,cpu_used,mem_used,proc_req,time_req,mem_req,status,user,user_group,executable_num,queue_num,partition,prev_job,think_time,hours,minutes,seconds,month,month,year,day_of_week,,starting_minutes,,nós alloc por 10 min,runtime 10 min,intervalos 10 min,,,,10 min utilizado,,10 min com 128 nos
1,0,-1,1451,128,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0,0,3,1,10,1993,5,,0,0,0,0,0,1,0,,7996,,
2,1460,-1,3726,128,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0,24,23,1,10,1993,5,,24.33333333,3,128,3726,1,0,0,,,,383
3,5198,-1,1067,128,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,26,41,1,10,1993,5,,86.63333333,9,128,1067,2,0,0,,0.603517247,,0.028907842
4,6269,-1,10927,128,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,-1,-1,1,44,32,1,10,1993,5,,104.4833333,11,128,10927,3,1,128,,,,
5,17201,-1,2927,128,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,4,46,44,1,10,1993,5,,286.6833333,29,128,2927,4,0,0,,,,
57,25574,-1,10,1,-1,-1,-1,-1,-1,-1,4,1,2,-1,-1,-1,-1,7,6,17,1,10,1993,5,,426.2333333,43,1,10,5,0,0,,0.396482753,,
59,26613,-1,716,32,-1,-1,-1,-1,-1,-1,4,1,3,-1,-1,-1,-1,7,23,36,1,10,1993,5,,443.55,45,32,716,6,0,0,,,,
60,27331,-1,7,1,-1,-1,-1,-1,-1,-1,4,1,4,-1,-1,-1,-1,7,35,34,1,10,1993,5,,455.5166667,46,1,7,7,0,0,,,,
61,27968,-1,69,2,-1,-1,-1,-1,-1,-1,5,2,5,-1,-1,-1,-1,7,46,11,1,10,1993,5,,466.1333333,47,4,87,8,0,0,,,,
62,27989,-1,9,1,-1,-1,-1,-1,-1,-1,6,1,6,-1,-1,-1,-1,7,46,32,1,10,1993,5,,466.4833333,47,4,87,9,1,128,,,,
63,28043,-1,9,1,-1,-1,-1,-1,-1,-1,6,1,6,-1,-1,-1,-1,7,47,26,1,10,1993,5,,467.3833333,47,4,87,10,0,0,,,,
65,28255,-1,884,1,-1,-1,-1,-1,-1,-1,6,1,6,-1,-1,-1,-1,7,50,58,1,10,1993,5,,470.9166667,48,1,884,11,1,128,,,,
72,29539,-1,75,32,-1,-1,-1,-1,-1,-1,4,1,3,-1,-1,-1,-1,8,12,22,1,10,1993,5,,492.3166667,50,33,90,12,0,0,,,,
74,29616,-1,15,1,-1,-1,-1,-1,-1,-1,4,1,4,-1,-1,-1,-1,8,13,39,1,10,1993,5,,493.6,50,33,90,13,0,0,,,,
76,30304,-1,176,32,-1,-1,-1,-1,-1,-1,4,1,3,-1,-1,-1,-1,8,25,7,1,10,1993,5,,505.0666667,51,64,336,14,0,0,,,,
77,30542,-1,160,32,-1,-1,-1,-1,-1,-1,4,1,3,-1,-1,-1,-1,8,29,5,1,10,1993,5,,509.0333333,51,64,336,15,0,0,,,,
80,30931,-1,229,32,-1,-1,-1,-1,-1,-1,4,1,3,-1,-1,-1,-1,8,35,34,1,10,1993,5,,515.5166667,52,32,229,16,0,0,,,,
85,31316,-1,54,4,-1,-1,-1,-1,-1,-1,7,1,7,-1,-1,-1,-1,8,41,59,1,10,1993,5,,521.9333333,53,40,340,17,0,0,,,,
86,31345,-1,237,32,-1,-1,-1,-1,-1,-1,4,1,3,-1,-1,-1,-1,8,42,28,1,10,1993,5,,522.4166667,53,40,340,18,0,0,,,,
87,31658,-1,49,4,-1,-1,-1,-1,-1,-1,7,1,7,-1,-1,-1,-1,8,47,41,1,10,1993,5,,527.6333333,53,40,340,19,0,0,,,,
89,31823,-1,104,32,-1,-1,-1,-1,-1,-1,4,1,3,-1,-1,-1,-1,8,50,26,1,10,1993,5,,530.3833333,54,117,511,20,0,0,,,,
90,31829,-1,57,4,-1,-1,-1,-1,-1,-1,7,1,7,-1,-1,-1,-1,8,50,32,1,10,1993,5,,530.4833333,54,117,511,21,0,0,,,,
91,31888,-1,19,16,-1,-1,-1,-1,-1,-1,8,1,8,-1,-1,-1,-1,8,51,31,1,10,1993,5,,531.4666667,54,117,511,22,0,0,,,,
92,31929,-1,7,1,-1,-1,-1,-1,-1,-1,4,1,4,-1,-1,-1,-1,8,52,12,1,10,1993,5,,532.15,54,117,511,23,0,0,,,,
93,32058,-1,181,32,-1,-1,-1,-1,-1,-1,4,1,3,-1,-1,-1,-1,8,54,21,1,10,1993,5,,534.3,54,117,511,24,0,0,,,,
95,32289,-1,143,32,-1,-1,-1,-1,-1,-1,4,1,3,-1,-1,-1,-1,8,58,12,1,10,1993,5,,538.15,54,117,511,25,0,0,,,,
96,32435,-1,7,1,-1,-1,-1,-1,-1,-1,4,1,4,-1,-1,-1,-1,9,0,38,1,10,1993,5,,540.5833333,55,26,4165,26,0,0,,,,
97,32463,-1,59,4,-1,-1,-1,-1,-1,-1,7,1,7,-1,-1,-1,-1,9,1,6,1,10,1993,5,,541.05,55,26,4165,27,0,0,,,,
98,32513,-1,4034,16,-1,-1,-1,-1,-1,-1,8,1,8,-1,-1,-1,-1,9,1,56,1,10,1993,5,,541.8833333,55,26,4165,28,0,0,,,,
102,32702,-1,14,1,-1,-1,-1,-1,-1,-1,9,2,9,-1,-1,-1,-1,9,5,5,1,10,1993,5,,545.0333333,55,26,4165,29,1,128,,,,
104,32974,-1,51,4,-1,-1,-1,-1,-1,-1,7,1,7,-1,-1,-1,-1,9,9,37,1,10,1993,5,,549.5666667,55,26,4165,30,0,0,,,,
106,33114,-1,10,1,-1,-1,-1,-1,-1,-1,4,1,4,-1,-1,-1,-1,9,11,57,1,10,1993,5,,551.9,56,5,62,31,0,0,,,,
107,33200,-1,52,4,-1,-1,-1,-1,-1,-1,7,1,7,-1,-1,-1,-1,9,13,23,1,10,1993,5,,553.3333333,56,5,62,32,0,0,,,,
109,33656,-1,147,32,-1,-1,-1,-1,-1,-1,4,1,3,-1,-1,-1,-1,9,20,59,1,10,1993,5,,560.9333333,57,37,226,33,0,0,,,,
110,33806,-1,19,1,-1,-1,-1,-1,-1,-1,4,1,4,-1,-1,-1,-1,9,23,29,1,10,1993,5,,563.4333333,57,37,226,34,0,0,,,,
111,33820,-1,60,4,-1,-1,-1,-1,-1,-1,7,1,7,-1,-1,-1,-1,9,23,43,1,10,1993,5,,563.6666667,57,37,226,35,0,0,,,,
115,34421,-1,21,4,-1,-1,-1,-1,-1,-1,5,2,5,-1,-1,-1,-1,9,33,44,1,10,1993,5,,573.6833333,58,41,264,36,0,0,,,,
117,34471,-1,200,32,-1,-1,-1,-1,-1,-1,4,1,3,-1,-1,-1,-1,9,34,34,1,10,1993,5,,574.5166667,58,41,264,37,0,0,,,,
119,34546,-1,35,4,-1,-1,-1,-1,-1,-1,5,2,5,-1,-1,-1,-1,9,35,49,1,10,1993,5,,575.7666667,58,41,264,38,0,0,,,,
121,34673,-1,8,1,-1,-1,-1,-1,-1,-1,4,1,4,-1,-1,-1,-1,9,37,56,1,10,1993,5,,577.8833333,58,41,264,39,0,0,,,,
122,34856,-1,732,32,-1,-1,-1,-1,-1,-1,4,1,3,-1,-1,-1,-1,9,40,59,1,10,1993,5,,580.9333333,59,33,739,40,0,0,,,,
124,35269,-1,7,1,-1,-1,-1,-1,-1,-1,4,1,4,-1,-1,-1,-1,9,47,52,1,10,1993,5,,587.8166667,59,33,739,41,0,0,,,,
126,35572,-1,63,4,-1,-1,-1,-1,-1,-1,7,1,7,-1,-1,-1,-1,9,52,55,1,10,1993,5,,592.8666667,60,37,800,42,0,0,,,,
127,35593,-1,10,1,-1,-1,-1,-1,-1,-1,4,1,4,-1,-1,-1,-1,9,53,16,1,10,1993,5,,593.2166667,60,37,800,43,1,1,,,,
128,35663,-1,727,32,-1,-1,-1,-1,-1,-1,4,1,3,-1,-1,-1,-1,9,54,26,1,10,1993,5,,594.3833333,60,37,800,44,0,0,,,,
133,36027,-1,53,4,-1,-1,-1,-1,-1,-1,7,1,7,-1,-1,-1,-1,10,0,30,1,10,1993,5,,600.45,61,85,480,45,1,32,,,,
135,36149,-1,120,32,-1,-1,-1,-1,-1,-1,10,1,10,-1,-1,-1,-1,10,2,32,1,10,1993,5,,602.4833333,61,85,480,46,1,1,,,,
136,36204,-1,133,16,-1,-1,-1,-1,-1,-1,11,1,11,-1,-1,-1,-1,10,3,27,1,10,1993,5,,603.4,61,85,480,47,3,4,,,,
137,36396,-1,8,1,-1,-1,-1,-1,-1,-1,4,1,4,-1,-1,-1,-1,10,6,39,1,10,1993,5,,606.6,61,85,480,48,1,1,,,,
138,36451,-1,166,32,-1,-1,-1,-1,-1,-1,4,1,3,-1,-1,-1,-1,10,7,34,1,10,1993,5,,607.5166667,61,85,480,49,0,0,,,,
140,36641,-1,785,32,-1,-1,-1,-1,-1,-1,4,1,3,-1,-1,-1,-1,10,10,44,1,10,1993,5,,610.6833333,62,116,6999,50,2,33,,,,
141,36709,-1,151,16,-1,-1,-1,-1,-1,-1,11,1,11,-1,-1,-1,-1,10,11,52,1,10,1993,5,,611.8166667,62,116,6999,51,2,64,,,,
142,36716,-1,290,4,-1,-1,-1,-1,-1,-1,7,1,7,-1,-1,-1,-1,10,11,59,1,10,1993,5,,611.9333333,62,116,6999,52,1,32,,,,
143,36718,-1,5057,16,-1,-1,-1,-1,-1,-1,8,1,8,-1,-1,-1,-1,10,12,1,1,10,1993,5,,611.9666667,62,116,6999,53,3,40,,,,
144,36965,-1,593,32,-1,-1,-1,-1,-1,-1,10,1,10,-1,-1,-1,-1,10,16,8,1,10,1993,5,,616.0833333,62,116,6999,54,6,117,,,,
146,37087,-1,123,16,-1,-1,-1,-1,-1,-1,11,1,11,-1,-1,-1,-1,10,18,10,1,10,1993,5,,618.1166667,62,116,6999,55,5,26,,,,
147,37304,-1,152,16,-1,-1,-1,-1,-1,-1,11,1,11,-1,-1,-1,-1,10,21,47,1,10,1993,5,,621.7333333,63,85,560,56,2,5,,,,
150,37436,-1,29,1,-1,-1,-1,-1,-1,-1,4,1,4,-1,-1,-1,-1,10,23,59,1,10,1993,5,,623.9333333,63,85,560,57,3,37,,,,
151,37439,-1,71,4,-1,-1,-1,-1,-1,-1,7,1,7,-1,-1,-1,-1,10,24,2,1,10,1993,5,,623.9833333,63,85,560,58,4,41,,,,
154,37562,-1,136,32,-1,-1,-1,-1,-1,-1,10,1,10,-1,-1,-1,-1,10,26,5,1,10,1993,5,,626.0333333,63,85,560,59,2,33,,,,
155,37701,-1,172,32,-1,-1,-1,-1,-1,-1,10,1,10,-1,-1,-1,-1,10,28,24,1,10,1993,5,,628.35,63,85,560,60,3,37,,,,
156,37826,-1,69,4,-1,-1,-1,-1,-1,-1,7,1,7,-1,-1,-1,-1,10,30,29,1,10,1993,5,,630.4333333,64,72,1512,61,5,85,,,,
157,37877,-1,566,32,-1,-1,-1,-1,-1,-1,10,1,10,-1,-1,-1,-1,10,31,20,1,10,1993,5,,631.2833333,64,72,1512,62,6,116,,,,
159,37905,-1,807,32,-1,-1,-1,-1,-1,-1,4,1,3,-1,-1,-1,-1,10,31,48,1,10,1993,5,,631.75,64,72,1512,63,5,85,,,,
160,38147,-1,70,4,-1,-1,-1,-1,-1,-1,7,1,7,-1,-1,-1,-1,10,35,50,1,10,1993,5,,635.7833333,64,72,1512,64,4,72,,,,
162,38445,-1,4750,32,-1,-1,-1,-1,-1,-1,10,1,10,-1,-1,-1,-1,10,40,48,1,10,1993,5,,640.75,65,33,4757,65,2,33,,,,
163,38716,-1,7,1,-1,-1,-1,-1,-1,-1,4,1,4,-1,-1,-1,-1,10,45,19,1,10,1993,5,,645.2666667,65,33,4757,66,0,0,,,,
170,40045,-1,3,1,-1,-1,-1,-1,-1,-1,2,1,9,-1,-1,-1,-1,11,7,28,1,10,1993,5,,667.4166667,67,1,3,67,1,1,,,,
